index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Generation Actual (in MU),Total Generation Estimated (in MU),Year,Month,DayOfWeek
60,2017-09-13,Northern,628.08,753.8,30.36,30.69,63.36,65.3,721.8000000000001,849.79,2017,9,2
62,2017-09-13,Southern,589.74,602.26,62.73,54.85,111.57,82.27,764.04,739.38,2017,9,2
63,2017-09-13,Eastern,455.66,450.83,0.0,0.0,85.94,72.06,541.6,522.89,2017,9,2
64,2017-09-13,NorthEastern,29.11,27.89,0.0,0.0,24.64,25.06,53.75,52.95,2017,9,2
65,2017-09-14,Northern,628.08,720.86,30.36,30.71,63.36,65.3,721.8000000000001,816.87,2017,9,3
67,2017-09-14,Southern,595.15,589.35,62.73,49.3,111.57,57.32,769.45,695.97,2017,9,3
68,2017-09-14,Eastern,455.66,450.78,0.0,0.0,85.94,77.8,541.6,528.5799999999999,2017,9,3
69,2017-09-14,NorthEastern,29.11,29.45,0.0,0.0,24.64,24.85,53.75,54.3,2017,9,3
70,2017-09-15,Northern,628.08,703.6,30.36,30.66,63.36,65.3,721.8000000000001,799.56,2017,9,4
72,2017-09-15,Southern,593.08,593.62,62.73,45.82,111.57,67.95,767.3800000000001,707.3900000000001,2017,9,4
73,2017-09-15,Eastern,484.74,438.75,0.0,0.0,85.94,83.76,570.6800000000001,522.51,2017,9,4
74,2017-09-15,NorthEastern,29.11,28.63,0.0,0.0,24.64,20.8,53.75,49.43,2017,9,4
75,2017-09-16,Northern,628.08,728.47,30.36,30.65,63.36,65.3,721.8000000000001,824.42,2017,9,5
77,2017-09-16,Southern,604.96,573.85,62.73,48.14,111.57,48.77,779.26,670.76,2017,9,5
78,2017-09-16,Eastern,486.07,443.23,0.0,0.0,85.94,79.07,572.01,522.3,2017,9,5
79,2017-09-16,NorthEastern,29.11,29.85,0.0,0.0,24.64,19.61,53.75,49.46,2017,9,5
80,2017-09-17,Northern,628.08,682.88,30.36,30.79,63.36,65.3,721.8000000000001,778.9699999999999,2017,9,6
82,2017-09-17,Southern,596.08,494.17,62.73,55.03,111.57,43.19,770.3800000000001,592.3900000000001,2017,9,6
83,2017-09-17,Eastern,486.07,421.62,0.0,0.0,85.94,72.32,572.01,493.94,2017,9,6
84,2017-09-17,NorthEastern,29.11,28.72,0.0,0.0,24.64,19.98,53.75,48.7,2017,9,6
85,2017-09-18,Northern,628.08,701.28,30.36,28.65,63.36,65.3,721.8000000000001,795.2299999999999,2017,9,0
87,2017-09-18,Southern,596.08,480.53,62.73,55.2,111.57,53.84,770.3800000000001,589.57,2017,9,0
88,2017-09-18,Eastern,486.07,390.63,0.0,0.0,85.94,67.06,572.01,457.69,2017,9,0
89,2017-09-18,NorthEastern,29.11,28.67,0.0,0.0,24.64,20.88,53.75,49.55,2017,9,0
90,2017-09-19,Northern,628.08,704.14,30.36,26.21,63.36,65.3,721.8000000000001,795.65,2017,9,1
92,2017-09-19,Southern,596.08,472.32,62.73,55.17,111.57,58.74,770.3800000000001,586.23,2017,9,1
93,2017-09-19,Eastern,486.07,417.92,0.0,0.0,85.94,69.41,572.01,487.33000000000004,2017,9,1
94,2017-09-19,NorthEastern,29.11,30.77,0.0,0.0,24.64,20.24,53.75,51.01,2017,9,1
95,2017-09-20,Northern,624.13,719.08,30.36,26.15,63.36,65.3,717.85,810.53,2017,9,2
97,2017-09-20,Southern,584.76,479.67,62.73,55.13,111.57,78.19,759.06,612.99,2017,9,2
98,2017-09-20,Eastern,486.07,418.22,0.0,0.0,85.94,66.42,572.01,484.64000000000004,2017,9,2
99,2017-09-20,NorthEastern,29.11,30.31,0.0,0.0,24.64,21.97,53.75,52.28,2017,9,2
100,2017-09-21,Northern,624.13,710.69,30.36,26.18,63.36,65.3,717.85,802.17,2017,9,3
102,2017-09-21,Southern,596.96,524.5,62.73,55.23,111.57,95.32,771.26,675.05,2017,9,3
103,2017-09-21,Eastern,486.07,438.6,0.0,0.0,85.94,76.02,572.01,514.62,2017,9,3
104,2017-09-21,NorthEastern,29.11,27.53,0.0,0.0,24.64,22.08,53.75,49.61,2017,9,3
105,2017-09-22,Northern,222.44,209.74,0.0,0.0,68.81,62.09,291.25,271.83000000000004,2017,9,4
106,2017-09-22,Western,419.55,409.17,0.0,0.0,44.54,3.8,464.09000000000003,412.97,2017,9,4
107,2017-09-22,Southern,270.69,191.91,0.0,0.0,0.0,0.0,270.69,191.91,2017,9,4
108,2017-09-22,Eastern,147.51,138.3,0.0,0.0,3.37,2.65,150.88,140.95000000000002,2017,9,4
109,2017-09-22,NorthEastern,12.34,12.38,0.0,0.0,0.0,0.0,12.34,12.38,2017,9,4
110,2017-09-23,Northern,624.13,523.93,30.36,30.2,63.36,65.3,717.85,619.43,2017,9,5
112,2017-09-23,Southern,587.32,578.34,62.73,55.46,111.57,101.99,761.6200000000001,735.7900000000001,2017,9,5
113,2017-09-23,Eastern,486.07,436.38,0.0,0.0,85.94,73.2,572.01,509.58,2017,9,5
114,2017-09-23,NorthEastern,29.11,28.05,0.0,0.0,24.64,21.42,53.75,49.47,2017,9,5
115,2017-09-24,Northern,624.13,520.12,30.36,31.43,63.36,65.3,717.85,616.8499999999999,2017,9,6
117,2017-09-24,Southern,587.32,556.37,62.73,55.38,111.57,72.42,761.6200000000001,684.17,2017,9,6
118,2017-09-24,Eastern,486.07,437.88,0.0,0.0,85.94,64.41,572.01,502.28999999999996,2017,9,6
119,2017-09-24,NorthEastern,29.11,29.49,0.0,0.0,24.64,24.36,53.75,53.849999999999994,2017,9,6
120,2017-09-25,Northern,624.13,571.59,30.36,31.41,63.36,65.3,717.85,668.3,2017,9,0
122,2017-09-25,Southern,591.15,550.65,62.73,55.41,111.57,77.38,765.45,683.4399999999999,2017,9,0
123,2017-09-25,Eastern,486.07,449.09,0.0,0.0,85.94,71.43,572.01,520.52,2017,9,0
124,2017-09-25,NorthEastern,29.11,29.55,0.0,0.0,24.64,22.31,53.75,51.86,2017,9,0
125,2017-09-26,Northern,626.73,646.01,30.36,31.99,63.36,65.3,720.45,743.3,2017,9,1
127,2017-09-26,Southern,591.15,535.81,62.73,52.14,111.57,87.54,765.45,675.4899999999999,2017,9,1
128,2017-09-26,Eastern,486.07,453.26,0.0,0.0,85.94,72.9,572.01,526.16,2017,9,1
