index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Generation Actual (in MU),Total Generation Estimated (in MU),Year,Month,DayOfWeek
895,2018-02-28,Northern,634.75,661.54,30.36,31.38,109.45,107.45,774.5600000000001,800.37,2018,2,2
897,2018-02-28,Southern,650.74,659.82,67.0,48.41,82.8,69.79,800.54,778.02,2018,2,2
898,2018-02-28,Eastern,499.35,543.69,0.0,0.0,25.1,27.92,524.45,571.61,2018,2,2
899,2018-02-28,NorthEastern,31.93,34.11,0.0,0.0,10.24,5.47,42.17,39.58,2018,2,2
900,2018-03-01,Northern,635.26,654.47,30.32,31.39,134.13,105.98,799.71,791.84,2018,3,3
902,2018-03-01,Southern,649.52,662.08,62.86,47.69,88.22,69.71,800.6,779.48,2018,3,3
903,2018-03-01,Eastern,505.24,536.02,0.0,0.0,30.16,21.73,535.4,557.75,2018,3,3
904,2018-03-01,NorthEastern,31.96,33.97,0.0,0.0,12.16,5.6,44.120000000000005,39.57,2018,3,3
905,2018-03-02,Northern,635.26,554.5,30.32,31.27,134.13,104.7,799.71,690.47,2018,3,4
907,2018-03-02,Southern,649.52,630.75,62.86,48.48,88.22,55.04,800.6,734.27,2018,3,4
908,2018-03-02,Eastern,505.24,490.72,0.0,0.0,30.16,19.54,535.4,510.26000000000005,2018,3,4
909,2018-03-02,NorthEastern,31.96,31.28,0.0,0.0,12.16,5.56,44.120000000000005,36.84,2018,3,4
910,2018-03-03,Northern,637.13,542.8,30.32,31.27,134.13,112.61,801.58,686.68,2018,3,5
912,2018-03-03,Southern,649.52,646.83,62.86,48.45,88.22,62.78,800.6,758.0600000000001,2018,3,5
913,2018-03-03,Eastern,505.24,492.22,0.0,0.0,30.16,24.95,535.4,517.1700000000001,2018,3,5
914,2018-03-03,NorthEastern,31.96,30.87,0.0,0.0,12.16,6.33,44.120000000000005,37.2,2018,3,5
915,2018-03-04,Northern,637.13,562.84,30.32,31.41,134.13,112.52,801.58,706.77,2018,3,6
917,2018-03-04,Southern,649.52,639.72,62.86,48.55,88.22,60.78,800.6,749.05,2018,3,6
918,2018-03-04,Eastern,505.24,523.06,0.0,0.0,30.16,25.56,535.4,548.6199999999999,2018,3,6
919,2018-03-04,NorthEastern,31.96,31.91,0.0,0.0,12.16,6.48,44.120000000000005,38.39,2018,3,6
920,2018-03-05,Northern,636.48,610.22,30.32,30.78,134.13,112.23,800.9300000000001,753.23,2018,3,0
922,2018-03-05,Southern,649.52,650.26,62.86,48.48,88.22,79.2,800.6,777.94,2018,3,0
923,2018-03-05,Eastern,501.14,526.63,0.0,0.0,30.16,24.07,531.3,550.7,2018,3,0
924,2018-03-05,NorthEastern,31.96,33.13,0.0,0.0,12.16,9.06,44.120000000000005,42.190000000000005,2018,3,0
925,2018-03-06,Northern,635.83,647.31,30.32,25.96,134.13,107.62,800.2800000000001,780.89,2018,3,1
927,2018-03-06,Southern,649.52,652.52,62.86,48.42,88.22,73.92,800.6,774.8599999999999,2018,3,1
928,2018-03-06,Eastern,501.14,520.24,0.0,0.0,30.16,28.06,531.3,548.3,2018,3,1
929,2018-03-06,NorthEastern,31.96,33.34,0.0,0.0,12.16,5.9,44.120000000000005,39.24,2018,3,1
930,2018-03-07,Northern,632.55,648.77,30.32,26.0,134.13,106.19,797.0,780.96,2018,3,2
932,2018-03-07,Southern,649.52,660.37,62.86,48.94,88.22,72.38,800.6,781.6899999999999,2018,3,2
933,2018-03-07,Eastern,501.14,545.88,0.0,0.0,30.16,25.2,531.3,571.08,2018,3,2
934,2018-03-07,NorthEastern,31.96,33.68,0.0,0.0,12.16,5.43,44.120000000000005,39.11,2018,3,2
935,2018-03-08,Northern,631.9,642.28,30.32,25.8,134.13,105.78,796.35,773.8599999999999,2018,3,3
937,2018-03-08,Southern,649.52,666.1,62.86,31.05,88.22,80.88,800.6,778.03,2018,3,3
938,2018-03-08,Eastern,501.14,544.58,0.0,0.0,30.16,23.6,531.3,568.1800000000001,2018,3,3
939,2018-03-08,NorthEastern,31.96,33.78,0.0,0.0,12.16,5.41,44.120000000000005,39.19,2018,3,3
940,2018-03-09,Northern,631.9,633.01,30.32,25.72,134.13,105.11,796.35,763.84,2018,3,4
942,2018-03-09,Southern,649.52,704.3,62.86,25.98,88.22,86.56,800.6,816.8399999999999,2018,3,4
943,2018-03-09,Eastern,501.14,541.05,0.0,0.0,30.16,25.77,531.3,566.8199999999999,2018,3,4
944,2018-03-09,NorthEastern,31.96,34.02,0.0,0.0,12.16,4.99,44.120000000000005,39.010000000000005,2018,3,4
945,2018-03-10,Northern,631.9,640.62,30.32,25.78,134.13,104.13,796.35,770.53,2018,3,5
947,2018-03-10,Southern,649.52,687.98,62.86,26.07,88.22,72.91,800.6,786.96,2018,3,5
948,2018-03-10,Eastern,501.14,546.67,0.0,0.0,30.16,25.79,531.3,572.4599999999999,2018,3,5
949,2018-03-10,NorthEastern,31.96,33.95,0.0,0.0,12.16,5.38,44.120000000000005,39.330000000000005,2018,3,5
950,2018-03-11,Northern,635.05,670.46,30.32,25.77,134.13,101.45,799.5,797.6800000000001,2018,3,6
952,2018-03-11,Southern,649.52,653.75,62.86,27.47,88.22,54.71,800.6,735.9300000000001,2018,3,6
953,2018-03-11,Eastern,501.14,540.23,0.0,0.0,30.16,21.16,531.3,561.39,2018,3,6
954,2018-03-11,NorthEastern,31.96,33.85,0.0,0.0,12.16,5.93,44.120000000000005,39.78,2018,3,6
955,2018-03-12,Northern,635.75,690.77,30.32,25.6,134.13,99.21,800.2,815.58,2018,3,0
957,2018-03-12,Southern,649.52,678.51,62.86,31.04,88.22,69.31,800.6,778.8599999999999,2018,3,0
958,2018-03-12,Eastern,501.14,544.48,0.0,0.0,30.16,26.71,531.3,571.19,2018,3,0
959,2018-03-12,NorthEastern,31.96,32.82,0.0,0.0,12.16,5.69,44.120000000000005,38.51,2018,3,0
960,2018-03-13,Northern,628.85,679.83,30.32,25.42,134.13,99.87,793.3000000000001,805.12,2018,3,1
962,2018-03-13,Southern,649.52,688.03,62.86,41.22,88.22,74.45,800.6,803.7,2018,3,1
963,2018-03-13,Eastern,501.14,550.22,0.0,0.0,30.16,26.06,531.3,576.28,2018,3,1
964,2018-03-13,NorthEastern,31.96,32.33,0.0,0.0,12.16,6.07,44.120000000000005,38.4,2018,3,1
965,2018-03-14,Northern,618.7,673.49,30.32,28.54,134.13,102.8,783.1500000000001,804.8299999999999,2018,3,2
967,2018-03-14,Southern,649.52,690.52,62.86,47.41,88.22,75.92,800.6,813.8499999999999,2018,3,2
968,2018-03-14,Eastern,501.14,549.61,0.0,0.0,30.16,25.82,531.3,575.4300000000001,2018,3,2
969,2018-03-14,NorthEastern,31.96,32.86,0.0,0.0,12.16,5.99,44.120000000000005,38.85,2018,3,2
970,2018-03-15,Northern,618.09,685.94,30.32,30.85,134.13,108.14,782.5400000000001,824.9300000000001,2018,3,3
972,2018-03-15,Southern,649.52,694.23,62.86,47.28,88.22,79.75,800.6,821.26,2018,3,3
973,2018-03-15,Eastern,501.14,545.39,0.0,0.0,30.16,25.58,531.3,570.97,2018,3,3
974,2018-03-15,NorthEastern,31.96,34.58,0.0,0.0,12.16,6.45,44.120000000000005,41.03,2018,3,3
975,2018-03-16,Northern,617.44,683.89,30.32,31.04,134.13,105.07,781.8900000000001,820.0,2018,3,4
977,2018-03-16,Southern,649.52,665.35,62.86,47.34,88.22,62.33,800.6,775.0200000000001,2018,3,4
978,2018-03-16,Eastern,501.14,523.13,0.0,0.0,30.16,25.21,531.3,548.34,2018,3,4
979,2018-03-16,NorthEastern,31.96,32.97,0.0,0.0,12.16,6.78,44.120000000000005,39.75,2018,3,4
980,2018-03-17,Northern,618.09,657.68,30.32,31.17,134.13,98.77,782.5400000000001,787.6199999999999,2018,3,5
982,2018-03-17,Southern,649.52,591.9,62.86,48.27,88.22,54.18,800.6,694.3499999999999,2018,3,5
983,2018-03-17,Eastern,501.14,505.9,0.0,0.0,30.16,30.81,531.3,536.7099999999999,2018,3,5
984,2018-03-17,NorthEastern,31.96,32.72,0.0,0.0,12.16,8.1,44.120000000000005,40.82,2018,3,5
985,2018-03-18,Northern,618.09,642.37,30.32,30.34,134.13,99.05,782.5400000000001,771.76,2018,3,6
987,2018-03-18,Southern,649.52,627.71,62.86,48.19,88.22,39.82,800.6,715.7200000000001,2018,3,6
988,2018-03-18,Eastern,501.14,497.02,0.0,0.0,30.16,28.07,531.3,525.09,2018,3,6
989,2018-03-18,NorthEastern,31.96,31.58,0.0,0.0,12.16,7.83,44.120000000000005,39.41,2018,3,6
990,2018-03-19,Northern,618.74,664.57,30.32,30.88,134.13,98.7,783.19,794.1500000000001,2018,3,0
992,2018-03-19,Southern,649.52,655.58,62.86,50.93,88.22,49.42,800.6,755.93,2018,3,0
993,2018-03-19,Eastern,501.14,515.32,0.0,0.0,30.16,27.89,531.3,543.21,2018,3,0
994,2018-03-19,NorthEastern,31.96,33.04,0.0,0.0,12.16,7.2,44.120000000000005,40.24,2018,3,0
995,2018-03-20,Northern,619.39,664.76,30.32,30.85,134.13,99.35,783.84,794.96,2018,3,1
997,2018-03-20,Southern,649.52,675.82,62.86,47.69,88.22,61.54,800.6,785.05,2018,3,1
998,2018-03-20,Eastern,501.14,507.57,0.0,0.0,30.16,30.2,531.3,537.77,2018,3,1
999,2018-03-20,NorthEastern,31.96,33.37,0.0,0.0,12.16,6.69,44.120000000000005,40.059999999999995,2018,3,1
1000,2018-03-21,Northern,623.37,643.01,30.32,29.8,134.13,97.94,787.82,770.75,2018,3,2
1002,2018-03-21,Southern,649.52,691.93,62.86,48.48,88.22,58.78,800.6,799.1899999999999,2018,3,2
1003,2018-03-21,Eastern,501.14,502.22,0.0,0.0,30.16,33.12,531.3,535.34,2018,3,2
1004,2018-03-21,NorthEastern,31.96,34.43,0.0,0.0,12.16,7.38,44.120000000000005,41.81,2018,3,2
1005,2018-03-22,Northern,624.02,646.41,30.32,25.9,134.13,100.66,788.47,772.9699999999999,2018,3,3
1007,2018-03-22,Southern,649.52,694.15,62.86,48.47,88.22,59.21,800.6,801.83,2018,3,3
1008,2018-03-22,Eastern,501.14,518.01,0.0,0.0,30.16,31.93,531.3,549.9399999999999,2018,3,3
1009,2018-03-22,NorthEastern,31.96,35.09,0.0,0.0,12.16,5.46,44.120000000000005,40.550000000000004,2018,3,3
1010,2018-03-23,Northern,624.02,651.19,30.32,26.44,134.13,101.37,788.47,779.0000000000001,2018,3,4
1012,2018-03-23,Southern,649.52,702.2,62.86,48.46,88.22,64.0,800.6,814.6600000000001,2018,3,4
1013,2018-03-23,Eastern,501.14,527.94,0.0,0.0,30.16,33.17,531.3,561.11,2018,3,4
1014,2018-03-23,NorthEastern,31.96,35.2,0.0,0.0,12.16,5.57,44.120000000000005,40.77,2018,3,4
1015,2018-03-24,Northern,624.02,637.74,30.32,30.55,134.13,101.89,788.47,770.18,2018,3,5
1017,2018-03-24,Southern,649.52,715.62,62.86,48.56,88.22,63.84,800.6,828.0200000000001,2018,3,5
1018,2018-03-24,Eastern,501.14,529.56,0.0,0.0,30.16,34.98,531.3,564.54,2018,3,5
1019,2018-03-24,NorthEastern,31.96,33.95,0.0,0.0,12.16,5.46,44.120000000000005,39.410000000000004,2018,3,5
1020,2018-03-25,Northern,624.02,599.15,30.32,31.09,134.13,100.87,788.47,731.11,2018,3,6
1022,2018-03-25,Southern,649.52,677.37,62.86,48.48,88.22,49.75,800.6,775.6,2018,3,6
1023,2018-03-25,Eastern,501.14,531.14,0.0,0.0,30.16,28.23,531.3,559.37,2018,3,6
1024,2018-03-25,NorthEastern,31.96,33.76,0.0,0.0,12.16,5.68,44.120000000000005,39.44,2018,3,6
1025,2018-03-26,Northern,624.02,635.47,30.32,30.93,134.13,98.18,788.47,764.5799999999999,2018,3,0
1027,2018-03-26,Southern,649.52,699.4,62.86,48.56,88.22,76.87,800.6,824.83,2018,3,0
1028,2018-03-26,Eastern,505.24,544.38,0.0,0.0,30.16,30.59,535.4,574.97,2018,3,0
1029,2018-03-26,NorthEastern,31.96,33.05,0.0,0.0,12.16,6.77,44.120000000000005,39.81999999999999,2018,3,0
1030,2018-03-27,Northern,624.67,634.68,30.32,30.92,134.13,96.16,789.12,761.7599999999999,2018,3,1
1032,2018-03-27,Southern,649.52,717.22,62.86,48.39,88.22,86.32,800.6,851.9300000000001,2018,3,1
1033,2018-03-27,Eastern,505.24,546.76,0.0,0.0,30.16,31.34,535.4,578.1,2018,3,1
1034,2018-03-27,NorthEastern,31.96,32.89,0.0,0.0,12.16,6.51,44.120000000000005,39.4,2018,3,1
1035,2018-03-28,Northern,624.67,656.12,30.32,30.85,134.13,95.55,789.12,782.52,2018,3,2
1037,2018-03-28,Southern,649.52,746.79,62.86,48.39,88.22,81.07,800.6,876.25,2018,3,2
1038,2018-03-28,Eastern,505.24,559.96,0.0,0.0,30.16,33.73,535.4,593.69,2018,3,2
1039,2018-03-28,NorthEastern,31.96,32.4,0.0,0.0,12.16,6.44,44.120000000000005,38.839999999999996,2018,3,2
1040,2018-03-29,Northern,625.32,649.8,30.32,30.82,134.13,97.26,789.7700000000001,777.88,2018,3,3
1042,2018-03-29,Southern,649.52,738.67,62.86,48.46,88.22,75.23,800.6,862.36,2018,3,3
1043,2018-03-29,Eastern,505.24,553.61,0.0,0.0,30.16,37.88,535.4,591.49,2018,3,3
1044,2018-03-29,NorthEastern,31.96,28.25,0.0,0.0,12.16,6.64,44.120000000000005,34.89,2018,3,3
1045,2018-03-30,Northern,625.97,633.74,30.32,30.83,134.13,93.2,790.4200000000001,757.7700000000001,2018,3,4
1047,2018-03-30,Southern,649.52,708.86,62.86,48.54,88.22,63.86,800.6,821.26,2018,3,4
1048,2018-03-30,Eastern,505.24,530.74,0.0,0.0,30.16,29.81,535.4,560.55,2018,3,4
1049,2018-03-30,NorthEastern,31.96,26.59,0.0,0.0,12.16,7.89,44.120000000000005,34.48,2018,3,4
1050,2018-03-31,Northern,628.5,599.11,30.32,30.88,134.13,89.39,792.95,719.38,2018,3,5
1052,2018-03-31,Southern,649.52,664.82,62.86,48.56,88.22,53.73,800.6,767.1100000000001,2018,3,5
1053,2018-03-31,Eastern,505.24,509.54,0.0,0.0,30.16,20.87,535.4,530.41,2018,3,5
1054,2018-03-31,NorthEastern,31.96,28.32,0.0,0.0,12.16,7.0,44.120000000000005,35.32,2018,3,5
1055,2018-04-01,Northern,657.76,552.66,22.5,36.09,154.72,95.71,834.98,684.46,2018,4,6
1057,2018-04-01,Southern,650.59,639.99,47.03,47.68,62.88,46.06,760.5,733.73,2018,4,6
1058,2018-04-01,Eastern,471.76,487.76,0.0,0.0,39.12,14.38,510.88,502.14,2018,4,6
1059,2018-04-01,NorthEastern,30.25,30.37,0.0,0.0,7.43,7.49,37.68,37.86,2018,4,6
1060,2018-04-02,Northern,657.76,600.38,22.5,36.05,154.72,104.47,834.98,740.9,2018,4,0
1062,2018-04-02,Southern,650.59,629.28,47.03,48.47,62.88,50.14,760.5,727.89,2018,4,0
1063,2018-04-02,Eastern,471.76,491.98,0.0,0.0,39.12,23.62,510.88,515.6,2018,4,0
1064,2018-04-02,NorthEastern,30.25,29.72,0.0,0.0,7.43,7.22,37.68,36.94,2018,4,0
1065,2018-04-03,Northern,682.27,634.5,22.5,36.06,154.72,108.76,859.49,779.3199999999999,2018,4,1
1067,2018-04-03,Southern,650.59,689.5,47.03,47.53,62.88,71.14,760.5,808.17,2018,4,1
1068,2018-04-03,Eastern,471.76,532.32,0.0,0.0,39.12,29.03,510.88,561.35,2018,4,1
1069,2018-04-03,NorthEastern,30.25,29.9,0.0,0.0,7.43,6.56,37.68,36.46,2018,4,1
1070,2018-04-04,Northern,682.27,662.82,22.5,36.04,154.72,115.23,859.49,814.09,2018,4,2
1072,2018-04-04,Southern,650.59,697.41,47.03,47.53,62.88,73.18,760.5,818.1199999999999,2018,4,2
1073,2018-04-04,Eastern,471.76,539.86,0.0,0.0,39.12,27.63,510.88,567.49,2018,4,2
1074,2018-04-04,NorthEastern,30.25,30.44,0.0,0.0,7.43,6.47,37.68,36.910000000000004,2018,4,2
1075,2018-04-05,Northern,638.68,635.3,22.5,34.15,154.72,108.13,815.9,777.5799999999999,2018,4,3
1077,2018-04-05,Southern,643.73,697.37,47.03,47.57,62.88,75.96,753.64,820.9000000000001,2018,4,3
1078,2018-04-05,Eastern,464.13,539.21,0.0,0.0,39.12,27.42,503.25,566.63,2018,4,3
1079,2018-04-05,NorthEastern,30.25,30.31,0.0,0.0,7.43,5.62,37.68,35.93,2018,4,3
1080,2018-04-06,Northern,640.97,618.14,22.5,31.13,154.72,106.01,818.19,755.28,2018,4,4
1082,2018-04-06,Southern,650.59,706.91,47.03,48.44,62.88,74.97,760.5,830.3199999999999,2018,4,4
1083,2018-04-06,Eastern,457.96,536.52,0.0,0.0,39.12,28.04,497.08,564.56,2018,4,4
1084,2018-04-06,NorthEastern,30.25,30.51,0.0,0.0,7.43,5.77,37.68,36.28,2018,4,4
1085,2018-04-07,Northern,640.97,555.83,22.5,29.62,154.72,108.85,818.19,694.3000000000001,2018,4,5
1087,2018-04-07,Southern,650.59,662.33,47.03,48.39,62.88,59.09,760.5,769.8100000000001,2018,4,5
1088,2018-04-07,Eastern,457.96,528.48,0.0,0.0,39.12,25.48,497.08,553.96,2018,4,5
1089,2018-04-07,NorthEastern,30.25,25.17,0.0,0.0,7.43,5.51,37.68,30.68,2018,4,5
1090,2018-04-08,Northern,640.97,559.83,22.5,30.45,154.72,104.73,818.19,695.0100000000001,2018,4,6
1092,2018-04-08,Southern,650.59,596.17,47.03,48.41,62.88,48.21,760.5,692.79,2018,4,6
1093,2018-04-08,Eastern,457.96,484.06,0.0,0.0,39.12,27.84,497.08,511.9,2018,4,6
1094,2018-04-08,NorthEastern,30.25,24.23,0.0,0.0,7.43,6.14,37.68,30.37,2018,4,6
1095,2018-04-09,Northern,640.97,532.72,22.5,30.75,154.72,111.09,818.19,674.5600000000001,2018,4,0
1097,2018-04-09,Southern,650.59,638.68,47.03,48.35,62.88,64.0,760.5,751.03,2018,4,0
1098,2018-04-09,Eastern,457.96,513.26,0.0,0.0,39.12,28.56,497.08,541.8199999999999,2018,4,0
1099,2018-04-09,NorthEastern,30.25,23.07,0.0,0.0,7.43,5.68,37.68,28.75,2018,4,0
1100,2018-04-10,Northern,635.21,561.19,22.5,30.57,154.72,111.67,812.4300000000001,703.4300000000001,2018,4,1
1102,2018-04-10,Southern,650.59,670.18,47.03,48.33,62.88,74.73,760.5,793.24,2018,4,1
1103,2018-04-10,Eastern,457.96,507.13,0.0,0.0,39.12,33.21,497.08,540.34,2018,4,1
1104,2018-04-10,NorthEastern,30.25,25.18,0.0,0.0,7.43,6.86,37.68,32.04,2018,4,1
1105,2018-04-11,Northern,637.57,527.89,22.5,28.66,154.72,117.18,814.7900000000001,673.73,2018,4,2
1107,2018-04-11,Southern,650.59,670.91,47.03,48.3,62.88,68.46,760.5,787.67,2018,4,2
1108,2018-04-11,Eastern,457.96,521.72,0.0,0.0,39.12,46.37,497.08,568.09,2018,4,2
1109,2018-04-11,NorthEastern,30.25,29.17,0.0,0.0,7.43,5.94,37.68,35.11,2018,4,2
1110,2018-04-12,Northern,635.07,524.66,22.5,30.83,154.72,121.24,812.2900000000001,676.73,2018,4,3
1112,2018-04-12,Southern,650.59,679.75,47.03,48.35,62.88,68.84,760.5,796.94,2018,4,3
1113,2018-04-12,Eastern,457.96,514.01,0.0,0.0,39.12,32.6,497.08,546.61,2018,4,3
1114,2018-04-12,NorthEastern,30.25,30.66,0.0,0.0,7.43,6.15,37.68,36.81,2018,4,3
1115,2018-04-13,Northern,635.07,564.95,22.5,30.64,154.72,112.04,812.2900000000001,707.63,2018,4,4
1117,2018-04-13,Southern,650.59,678.86,47.03,47.24,62.88,67.26,760.5,793.36,2018,4,4
1118,2018-04-13,Eastern,457.96,511.87,0.0,0.0,39.12,44.1,497.08,555.97,2018,4,4
1119,2018-04-13,NorthEastern,30.25,30.2,0.0,0.0,7.43,7.13,37.68,37.33,2018,4,4
1120,2018-04-14,Northern,634.85,575.03,22.5,30.6,154.72,108.37,812.07,714.0,2018,4,5
1122,2018-04-14,Southern,650.59,668.5,47.03,47.41,62.88,70.08,760.5,785.99,2018,4,5
1123,2018-04-14,Eastern,457.96,524.46,0.0,0.0,39.12,56.72,497.08,581.1800000000001,2018,4,5
1124,2018-04-14,NorthEastern,30.25,30.7,0.0,0.0,7.43,7.31,37.68,38.01,2018,4,5
1125,2018-04-15,Northern,633.45,569.61,22.5,30.77,154.72,100.27,810.6700000000001,700.65,2018,4,6
1127,2018-04-15,Southern,650.59,632.69,47.03,47.14,62.88,46.07,760.5,725.9000000000001,2018,4,6
1128,2018-04-15,Eastern,466.34,522.98,0.0,0.0,39.12,31.43,505.46,554.41,2018,4,6
1129,2018-04-15,NorthEastern,30.25,32.35,0.0,0.0,7.43,6.66,37.68,39.010000000000005,2018,4,6
1130,2018-04-16,Northern,633.45,595.53,22.5,29.18,154.72,98.19,810.6700000000001,722.8999999999999,2018,4,0
1132,2018-04-16,Southern,641.19,655.25,47.03,48.29,62.88,67.79,751.1,771.3299999999999,2018,4,0
1133,2018-04-16,Eastern,466.34,558.77,0.0,0.0,39.12,46.67,505.46,605.4399999999999,2018,4,0
1134,2018-04-16,NorthEastern,30.25,35.25,0.0,0.0,7.43,6.53,37.68,41.78,2018,4,0
1135,2018-04-17,Northern,633.45,620.14,22.5,26.26,154.72,102.79,810.6700000000001,749.1899999999999,2018,4,1
1137,2018-04-17,Southern,636.56,669.71,47.03,48.31,62.88,66.46,746.4699999999999,784.48,2018,4,1
1138,2018-04-17,Eastern,466.34,552.32,0.0,0.0,39.12,34.59,505.46,586.9100000000001,2018,4,1
1139,2018-04-17,NorthEastern,30.25,32.16,0.0,0.0,7.43,6.8,37.68,38.959999999999994,2018,4,1
1140,2018-04-18,Northern,631.21,618.93,22.5,26.39,154.72,102.94,808.4300000000001,748.26,2018,4,2
1142,2018-04-18,Southern,636.56,673.97,47.03,47.5,62.88,71.08,746.4699999999999,792.5500000000001,2018,4,2
1143,2018-04-18,Eastern,466.34,534.17,0.0,0.0,39.12,32.63,505.46,566.8,2018,4,2
1144,2018-04-18,NorthEastern,30.25,29.13,0.0,0.0,7.43,6.53,37.68,35.66,2018,4,2
1145,2018-04-19,Northern,631.21,633.05,22.5,26.05,154.72,107.26,808.4300000000001,766.3599999999999,2018,4,3
1147,2018-04-19,Southern,636.56,683.15,47.03,47.46,62.88,54.77,746.4699999999999,785.38,2018,4,3
1148,2018-04-19,Eastern,466.34,543.68,0.0,0.0,39.12,36.08,505.46,579.76,2018,4,3
1149,2018-04-19,NorthEastern,30.25,27.83,0.0,0.0,7.43,6.34,37.68,34.17,2018,4,3
1150,2018-04-20,Northern,633.71,598.29,22.5,26.21,154.72,111.32,810.9300000000001,735.8199999999999,2018,4,4
1152,2018-04-20,Southern,636.56,678.58,47.03,47.36,62.88,59.14,746.4699999999999,785.08,2018,4,4
1153,2018-04-20,Eastern,466.34,534.11,0.0,0.0,39.12,40.68,505.46,574.79,2018,4,4
1154,2018-04-20,NorthEastern,30.25,28.2,0.0,0.0,7.43,6.65,37.68,34.85,2018,4,4
1155,2018-04-21,Northern,633.23,639.05,22.5,26.19,154.72,115.34,810.45,780.58,2018,4,5
1157,2018-04-21,Southern,636.56,670.58,47.03,47.29,62.88,68.93,746.4699999999999,786.8,2018,4,5
1158,2018-04-21,Eastern,466.34,525.29,0.0,0.0,39.12,40.98,505.46,566.27,2018,4,5
1159,2018-04-21,NorthEastern,30.25,30.65,0.0,0.0,7.43,7.77,37.68,38.42,2018,4,5
1160,2018-04-22,Northern,633.23,599.51,22.5,26.03,154.72,112.12,810.45,737.66,2018,4,6
1162,2018-04-22,Southern,636.56,629.1,47.03,48.28,62.88,40.93,746.4699999999999,718.31,2018,4,6
1163,2018-04-22,Eastern,466.34,517.23,0.0,0.0,39.12,41.91,505.46,559.14,2018,4,6
1164,2018-04-22,NorthEastern,30.25,32.61,0.0,0.0,7.43,7.62,37.68,40.23,2018,4,6
1165,2018-04-23,Northern,633.23,648.95,22.5,26.13,154.72,118.87,810.45,793.95,2018,4,0
1167,2018-04-23,Southern,636.56,664.01,47.03,47.25,62.88,60.96,746.4699999999999,772.22,2018,4,0
1168,2018-04-23,Eastern,466.34,546.55,0.0,0.0,39.12,44.27,505.46,590.8199999999999,2018,4,0
1169,2018-04-23,NorthEastern,30.25,35.06,0.0,0.0,7.43,7.78,37.68,42.84,2018,4,0
1170,2018-04-24,Northern,633.23,665.59,22.5,25.94,154.72,127.75,810.45,819.2800000000001,2018,4,1
1172,2018-04-24,Southern,636.56,675.25,47.03,48.11,62.88,53.69,746.4699999999999,777.05,2018,4,1
1173,2018-04-24,Eastern,465.25,524.5,0.0,0.0,39.12,48.82,504.37,573.32,2018,4,1
1174,2018-04-24,NorthEastern,30.25,34.75,0.0,0.0,7.43,8.79,37.68,43.54,2018,4,1
1175,2018-04-25,Northern,633.23,680.01,22.5,25.86,154.72,138.19,810.45,844.06,2018,4,2
1177,2018-04-25,Southern,636.56,680.34,47.03,48.13,62.88,49.79,746.4699999999999,778.26,2018,4,2
1178,2018-04-25,Eastern,465.25,522.58,0.0,0.0,39.12,46.04,504.37,568.62,2018,4,2
1179,2018-04-25,NorthEastern,30.25,32.37,0.0,0.0,7.43,7.3,37.68,39.669999999999995,2018,4,2
1180,2018-04-26,Northern,633.23,680.66,22.5,25.71,154.72,150.83,810.45,857.2,2018,4,3
1182,2018-04-26,Southern,636.56,691.85,47.03,48.21,62.88,55.27,746.4699999999999,795.33,2018,4,3
1183,2018-04-26,Eastern,465.25,516.98,0.0,0.0,39.12,41.33,504.37,558.3100000000001,2018,4,3
1184,2018-04-26,NorthEastern,30.25,31.55,0.0,0.0,7.43,7.8,37.68,39.35,2018,4,3
1185,2018-04-27,Northern,633.23,697.1,22.5,20.92,154.72,159.6,810.45,877.62,2018,4,4
1187,2018-04-27,Southern,636.56,706.84,47.03,47.32,62.88,62.78,746.4699999999999,816.94,2018,4,4
1188,2018-04-27,Eastern,465.25,515.18,0.0,0.0,39.12,41.09,504.37,556.27,2018,4,4
1189,2018-04-27,NorthEastern,30.25,33.26,0.0,0.0,7.43,7.81,37.68,41.07,2018,4,4
1190,2018-04-28,Northern,630.56,714.5,22.5,20.86,154.72,163.81,807.78,899.1700000000001,2018,4,5
1192,2018-04-28,Southern,636.56,706.35,47.03,36.24,62.88,67.61,746.4699999999999,810.2,2018,4,5
1193,2018-04-28,Eastern,465.25,519.88,0.0,0.0,39.12,44.33,504.37,564.21,2018,4,5
1194,2018-04-28,NorthEastern,30.25,35.59,0.0,0.0,7.43,7.24,37.68,42.830000000000005,2018,4,5
1195,2018-04-29,Northern,633.06,671.69,22.5,20.75,154.72,168.85,810.28,861.2900000000001,2018,4,6
1197,2018-04-29,Southern,636.56,670.12,47.03,25.47,62.88,48.03,746.4699999999999,743.62,2018,4,6
1198,2018-04-29,Eastern,465.25,505.86,0.0,0.0,39.12,24.52,504.37,530.38,2018,4,6
1199,2018-04-29,NorthEastern,30.25,32.49,0.0,0.0,7.43,7.35,37.68,39.84,2018,4,6
1200,2018-04-30,Northern,636.39,624.62,22.5,22.49,154.72,177.88,813.61,824.99,2018,4,0
1202,2018-04-30,Southern,636.56,672.75,47.03,25.1,62.88,50.68,746.4699999999999,748.53,2018,4,0
1203,2018-04-30,Eastern,469.05,466.64,0.0,0.0,39.12,42.25,508.17,508.89,2018,4,0
